,departure_date,departure_time,arrival_time,airline,fare_type,price,origin,destination,date_collected
0,"Friday, 25 November 2022",5:15:00,8:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Thursday, 24 November 2022"
1,"Friday, 25 November 2022",5:15:00,8:35:00,Qantas,Qantas-Business Class,1679,Brisbane,Melbourne,"Thursday, 24 November 2022"
2,"Friday, 25 November 2022",6:15:00,9:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Thursday, 24 November 2022"
3,"Friday, 25 November 2022",6:15:00,9:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
4,"Friday, 25 November 2022",7:15:00,10:35:00,Qantas,Qantas-Flex,837,Brisbane,Melbourne,"Thursday, 24 November 2022"
5,"Friday, 25 November 2022",7:15:00,10:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
6,"Friday, 25 November 2022",7:55:00,11:15:00,Virgin,Virgin-Flex,739,Brisbane,Melbourne,"Thursday, 24 November 2022"
7,"Friday, 25 November 2022",8:00:00,11:25:00,Rex,Rex-Business Class Plus,699,Brisbane,Melbourne,"Thursday, 24 November 2022"
8,"Friday, 25 November 2022",8:55:00,12:15:00,Virgin,Virgin-Flex,739,Brisbane,Melbourne,"Thursday, 24 November 2022"
9,"Friday, 25 November 2022",9:15:00,12:35:00,Qantas,Qantas-Flex,995,Brisbane,Melbourne,"Thursday, 24 November 2022"
10,"Friday, 25 November 2022",9:15:00,12:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
11,"Friday, 25 November 2022",9:55:00,13:15:00,Virgin,Virgin-Flex,839,Brisbane,Melbourne,"Thursday, 24 November 2022"
12,"Friday, 25 November 2022",10:15:00,13:35:00,Qantas,Qantas-Flex,1193,Brisbane,Melbourne,"Thursday, 24 November 2022"
13,"Friday, 25 November 2022",10:15:00,13:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
14,"Friday, 25 November 2022",10:55:00,14:15:00,Virgin,Virgin-Flex,839,Brisbane,Melbourne,"Thursday, 24 November 2022"
15,"Friday, 25 November 2022",11:55:00,15:15:00,Virgin,Virgin-Flex,839,Brisbane,Melbourne,"Thursday, 24 November 2022"
16,"Friday, 25 November 2022",12:15:00,15:35:00,Qantas,Qantas-Flex,1193,Brisbane,Melbourne,"Thursday, 24 November 2022"
17,"Friday, 25 November 2022",12:15:00,15:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
18,"Friday, 25 November 2022",13:15:00,16:35:00,Qantas,Qantas-Flex,995,Brisbane,Melbourne,"Thursday, 24 November 2022"
19,"Friday, 25 November 2022",13:15:00,16:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
20,"Friday, 25 November 2022",14:55:00,18:15:00,Virgin,Virgin-Flex,439,Brisbane,Melbourne,"Thursday, 24 November 2022"
21,"Friday, 25 November 2022",14:55:00,18:15:00,Virgin,Virgin-Business,949,Brisbane,Melbourne,"Thursday, 24 November 2022"
22,"Friday, 25 November 2022",15:00:00,18:20:00,Qantas,Qantas-Flex,995,Brisbane,Melbourne,"Thursday, 24 November 2022"
23,"Friday, 25 November 2022",15:00:00,18:20:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
24,"Friday, 25 November 2022",15:55:00,19:15:00,Virgin,Virgin-Flex,739,Brisbane,Melbourne,"Thursday, 24 November 2022"
25,"Friday, 25 November 2022",16:15:00,19:35:00,Qantas,Qantas-Flex,995,Brisbane,Melbourne,"Thursday, 24 November 2022"
26,"Friday, 25 November 2022",16:55:00,20:15:00,Virgin,Virgin-Flex,739,Brisbane,Melbourne,"Thursday, 24 November 2022"
27,"Friday, 25 November 2022",17:15:00,20:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Thursday, 24 November 2022"
28,"Friday, 25 November 2022",17:15:00,20:35:00,Qantas,Qantas-Business Class,1679,Brisbane,Melbourne,"Thursday, 24 November 2022"
29,"Friday, 25 November 2022",17:50:00,21:10:00,JetStar,JetStar-Starter,529,Brisbane,Melbourne,"Thursday, 24 November 2022"
30,"Friday, 25 November 2022",17:50:00,21:10:00,JetStar,JetStar-Starter,556,Brisbane,Melbourne,"Thursday, 24 November 2022"
31,"Friday, 25 November 2022",17:50:00,21:10:00,JetStar,JetStar-Flex,574,Brisbane,Melbourne,"Thursday, 24 November 2022"
32,"Friday, 25 November 2022",17:50:00,21:10:00,JetStar,JetStar-Flex,601,Brisbane,Melbourne,"Thursday, 24 November 2022"
33,"Friday, 25 November 2022",17:50:00,21:10:00,JetStar,JetStar-Plus,577,Brisbane,Melbourne,"Thursday, 24 November 2022"
34,"Friday, 25 November 2022",17:50:00,21:10:00,JetStar,JetStar-Max,614,Brisbane,Melbourne,"Thursday, 24 November 2022"
35,"Friday, 25 November 2022",17:55:00,21:15:00,Virgin,Virgin-Flex,739,Brisbane,Melbourne,"Thursday, 24 November 2022"
36,"Friday, 25 November 2022",17:55:00,21:15:00,Virgin,Virgin-Business,949,Brisbane,Melbourne,"Thursday, 24 November 2022"
37,"Friday, 25 November 2022",18:00:00,21:25:00,Rex,Rex-Flex,649,Brisbane,Melbourne,"Thursday, 24 November 2022"
38,"Friday, 25 November 2022",18:00:00,21:25:00,Rex,Rex-Business Class Plus,699,Brisbane,Melbourne,"Thursday, 24 November 2022"
39,"Friday, 25 November 2022",18:15:00,21:35:00,Qantas,Qantas-Flex,837,Brisbane,Melbourne,"Thursday, 24 November 2022"
40,"Friday, 25 November 2022",18:15:00,21:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Thursday, 24 November 2022"
