,departure_date,departure_time,arrival_time,airline,fare_type,price,origin,destination,date_collected
0,"Saturday, 26 November 2022",5:15:00,8:35:00,Qantas,Qantas-Red eDeal,612,Brisbane,Melbourne,"Friday, 25 November 2022"
1,"Saturday, 26 November 2022",5:15:00,8:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Friday, 25 November 2022"
2,"Saturday, 26 November 2022",5:15:00,8:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Friday, 25 November 2022"
3,"Saturday, 26 November 2022",6:15:00,9:35:00,Qantas,Qantas-Red eDeal,612,Brisbane,Melbourne,"Friday, 25 November 2022"
4,"Saturday, 26 November 2022",6:15:00,9:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Friday, 25 November 2022"
5,"Saturday, 26 November 2022",6:15:00,9:35:00,Qantas,Qantas-Business Class,1679,Brisbane,Melbourne,"Friday, 25 November 2022"
6,"Saturday, 26 November 2022",7:20:00,10:45:00,JetStar,JetStar-Starter,647,Brisbane,Melbourne,"Friday, 25 November 2022"
7,"Saturday, 26 November 2022",7:20:00,10:45:00,JetStar,JetStar-Starter,674,Brisbane,Melbourne,"Friday, 25 November 2022"
8,"Saturday, 26 November 2022",7:20:00,10:45:00,JetStar,JetStar-Flex,692,Brisbane,Melbourne,"Friday, 25 November 2022"
9,"Saturday, 26 November 2022",7:20:00,10:45:00,JetStar,JetStar-Flex,719,Brisbane,Melbourne,"Friday, 25 November 2022"
10,"Saturday, 26 November 2022",7:20:00,10:45:00,JetStar,JetStar-Plus,695,Brisbane,Melbourne,"Friday, 25 November 2022"
11,"Saturday, 26 November 2022",7:20:00,10:45:00,JetStar,JetStar-Max,732,Brisbane,Melbourne,"Friday, 25 November 2022"
12,"Saturday, 26 November 2022",8:00:00,11:25:00,Rex,Rex-Flex,479,Brisbane,Melbourne,"Friday, 25 November 2022"
13,"Saturday, 26 November 2022",8:00:00,11:25:00,Rex,Rex-Business Class Plus,699,Brisbane,Melbourne,"Friday, 25 November 2022"
14,"Saturday, 26 November 2022",9:05:00,12:30:00,JetStar,JetStar-Starter,647,Brisbane,Melbourne,"Friday, 25 November 2022"
15,"Saturday, 26 November 2022",9:05:00,12:30:00,JetStar,JetStar-Starter,674,Brisbane,Melbourne,"Friday, 25 November 2022"
16,"Saturday, 26 November 2022",9:05:00,12:30:00,JetStar,JetStar-Flex,692,Brisbane,Melbourne,"Friday, 25 November 2022"
17,"Saturday, 26 November 2022",9:05:00,12:30:00,JetStar,JetStar-Flex,719,Brisbane,Melbourne,"Friday, 25 November 2022"
18,"Saturday, 26 November 2022",9:05:00,12:30:00,JetStar,JetStar-Plus,695,Brisbane,Melbourne,"Friday, 25 November 2022"
19,"Saturday, 26 November 2022",9:05:00,12:30:00,JetStar,JetStar-Max,732,Brisbane,Melbourne,"Friday, 25 November 2022"
20,"Saturday, 26 November 2022",9:15:00,12:35:00,Qantas,Qantas-Flex,995,Brisbane,Melbourne,"Friday, 25 November 2022"
21,"Saturday, 26 November 2022",9:15:00,12:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Friday, 25 November 2022"
22,"Saturday, 26 November 2022",10:15:00,13:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Friday, 25 November 2022"
23,"Saturday, 26 November 2022",10:15:00,13:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Friday, 25 November 2022"
24,"Saturday, 26 November 2022",11:55:00,15:15:00,Virgin,Virgin-Flex,739,Brisbane,Melbourne,"Friday, 25 November 2022"
25,"Saturday, 26 November 2022",12:10:00,15:30:00,JetStar,JetStar-Starter,647,Brisbane,Melbourne,"Friday, 25 November 2022"
26,"Saturday, 26 November 2022",12:10:00,15:30:00,JetStar,JetStar-Starter,674,Brisbane,Melbourne,"Friday, 25 November 2022"
27,"Saturday, 26 November 2022",12:10:00,15:30:00,JetStar,JetStar-Flex,692,Brisbane,Melbourne,"Friday, 25 November 2022"
28,"Saturday, 26 November 2022",12:10:00,15:30:00,JetStar,JetStar-Flex,719,Brisbane,Melbourne,"Friday, 25 November 2022"
29,"Saturday, 26 November 2022",12:10:00,15:30:00,JetStar,JetStar-Plus,695,Brisbane,Melbourne,"Friday, 25 November 2022"
30,"Saturday, 26 November 2022",12:10:00,15:30:00,JetStar,JetStar-Max,732,Brisbane,Melbourne,"Friday, 25 November 2022"
31,"Saturday, 26 November 2022",13:15:00,16:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Friday, 25 November 2022"
32,"Saturday, 26 November 2022",13:15:00,16:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Friday, 25 November 2022"
33,"Saturday, 26 November 2022",14:55:00,18:15:00,Virgin,Virgin-Flex,739,Brisbane,Melbourne,"Friday, 25 November 2022"
34,"Saturday, 26 November 2022",14:55:00,18:15:00,Virgin,Virgin-Business,949,Brisbane,Melbourne,"Friday, 25 November 2022"
35,"Saturday, 26 November 2022",15:00:00,18:20:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Friday, 25 November 2022"
36,"Saturday, 26 November 2022",15:00:00,18:20:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Friday, 25 November 2022"
37,"Saturday, 26 November 2022",16:15:00,19:35:00,Qantas,Qantas-Red eDeal,612,Brisbane,Melbourne,"Friday, 25 November 2022"
38,"Saturday, 26 November 2022",16:15:00,19:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Friday, 25 November 2022"
39,"Saturday, 26 November 2022",16:15:00,19:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Friday, 25 November 2022"
40,"Saturday, 26 November 2022",16:55:00,20:15:00,Virgin,Virgin-Flex,639,Brisbane,Melbourne,"Friday, 25 November 2022"
41,"Saturday, 26 November 2022",16:55:00,20:15:00,Virgin,Virgin-Business,949,Brisbane,Melbourne,"Friday, 25 November 2022"
42,"Saturday, 26 November 2022",18:15:00,21:35:00,Qantas,Qantas-Red eDeal,612,Brisbane,Melbourne,"Friday, 25 November 2022"
43,"Saturday, 26 November 2022",18:15:00,21:35:00,Qantas,Qantas-Flex,711,Brisbane,Melbourne,"Friday, 25 November 2022"
44,"Saturday, 26 November 2022",18:15:00,21:35:00,Qantas,Qantas-Business Class,2128,Brisbane,Melbourne,"Friday, 25 November 2022"
45,"Saturday, 26 November 2022",18:55:00,22:15:00,Virgin,Virgin-Flex,539,Brisbane,Melbourne,"Friday, 25 November 2022"
46,"Saturday, 26 November 2022",18:55:00,22:15:00,Virgin,Virgin-Business,949,Brisbane,Melbourne,"Friday, 25 November 2022"
47,"Saturday, 26 November 2022",21:15:00,0:35:00,JetStar,JetStar-Starter,647,Brisbane,Melbourne,"Friday, 25 November 2022"
